mic,dist_cm,angle_deg,rep,f0_est,SNR_dB,THD_pct,THD_N_dB,noise_floor_dbfs,score_snr,score_thd,score_thdn,score_nf,score_final,tone_path,silence_path
MicA,20,0,1,999.76,12.89,1.53,-12.87,-111.08,0.00,24.79,0.00,100.00,29.49,data\MicA\MicA_dist20cm_ang0_tone_rep1.wav,data\MicA\MicA_dist20cm_ang0_silence_rep1.wav
MicA,20,0,2,999.76,12.96,1.74,-12.94,-111.55,0.00,13.46,0.00,100.00,26.40,data\MicA\MicA_dist20cm_ang0_tone_rep2.wav,data\MicA\MicA_dist20cm_ang0_silence_rep2.wav
MicA,20,45,1,999.76,12.98,1.23,-12.97,-107.70,0.00,40.77,0.00,100.00,33.85,data\MicA\MicA_dist20cm_ang45_tone_rep1.wav,data\MicA\MicA_dist20cm_ang45_silence_rep1.wav
MicA,20,45,2,999.76,11.97,2.03,-11.94,-112.77,0.00,0.00,0.00,100.00,22.73,data\MicA\MicA_dist20cm_ang45_tone_rep2.wav,data\MicA\MicA_dist20cm_ang45_silence_rep2.wav
MicA,50,0,1,999.76,6.97,2.23,-6.96,-104.62,0.00,0.00,0.00,100.00,22.73,data\MicA\MicA_dist50cm_ang0_tone_rep1.wav,data\MicA\MicA_dist50cm_ang0_silence_rep1.wav
MicA,50,0,2,999.76,10.38,2.34,-10.36,-107.09,0.00,0.00,0.00,100.00,22.73,data\MicA\MicA_dist50cm_ang0_tone_rep2.wav,data\MicA\MicA_dist50cm_ang0_silence_rep2.wav
MicA,50,45,1,999.76,8.98,2.66,-8.95,-105.68,0.00,0.00,0.00,100.00,22.73,data\MicA\MicA_dist50cm_ang45_tone_rep1.wav,data\MicA\MicA_dist50cm_ang45_silence_rep1.wav
MicA,50,45,2,999.76,5.37,3.00,-5.35,-113.37,0.00,0.00,0.00,100.00,22.73,data\MicA\MicA_dist50cm_ang45_tone_rep2.wav,data\MicA\MicA_dist50cm_ang45_silence_rep2.wav
MicB,20,0,1,999.76,13.81,0.42,-13.80,-125.01,0.00,82.91,0.00,100.00,45.34,data\MicB\MicB_dist20cm_ang0_tone_rep1.wav,data\MicB\MicB_dist20cm_ang0_silence_rep1.wav
MicB,20,0,2,999.76,13.82,0.49,-13.82,-119.48,0.00,79.73,0.00,100.00,44.47,data\MicB\MicB_dist20cm_ang0_tone_rep2.wav,data\MicB\MicB_dist20cm_ang0_silence_rep2.wav
MicB,20,45,1,999.76,13.64,0.55,-13.63,-118.45,0.00,76.21,0.00,100.00,43.51,data\MicB\MicB_dist20cm_ang45_tone_rep1.wav,data\MicB\MicB_dist20cm_ang45_silence_rep1.wav
MicB,20,45,2,999.76,13.82,0.46,-13.82,-116.64,0.00,81.03,0.00,100.00,44.83,data\MicB\MicB_dist20cm_ang45_tone_rep2.wav,data\MicB\MicB_dist20cm_ang45_silence_rep2.wav
MicB,50,0,1,999.76,13.56,0.44,-13.56,-121.17,0.00,82.09,0.00,100.00,45.12,data\MicB\MicB_dist50cm_ang0_tone_rep1.wav,data\MicB\MicB_dist50cm_ang0_silence_rep1.wav
MicB,50,0,2,999.76,13.04,0.62,-13.04,-120.92,0.00,72.63,0.00,100.00,42.54,data\MicB\MicB_dist50cm_ang0_tone_rep2.wav,data\MicB\MicB_dist50cm_ang0_silence_rep2.wav
MicB,50,45,1,999.76,12.34,0.83,-12.34,-119.30,0.00,61.44,0.00,100.00,39.48,data\MicB\MicB_dist50cm_ang45_tone_rep1.wav,data\MicB\MicB_dist50cm_ang45_silence_rep1.wav
MicB,50,45,2,999.76,10.98,1.10,-10.97,-121.62,0.00,47.56,0.00,100.00,35.70,data\MicB\MicB_dist50cm_ang45_tone_rep2.wav,data\MicB\MicB_dist50cm_ang45_silence_rep2.wav
MicC,20,0,1,999.76,7.73,3.65,-7.69,-99.24,0.00,0.00,0.00,100.00,22.73,data\MicC\MicC_dist20cm_ang0_tone_rep1.wav,data\MicC\MicC_dist20cm_ang0_silence_rep1.wav
MicC,20,0,2,999.76,6.12,5.41,-6.06,-104.60,0.00,0.00,0.00,100.00,22.73,data\MicC\MicC_dist20cm_ang0_tone_rep2.wav,data\MicC\MicC_dist20cm_ang0_silence_rep2.wav
MicC,20,45,1,999.76,9.08,4.51,-9.01,-98.45,0.00,0.00,0.00,100.00,22.73,data\MicC\MicC_dist20cm_ang45_tone_rep1.wav,data\MicC\MicC_dist20cm_ang45_silence_rep1.wav
MicC,20,45,2,999.76,3.97,6.01,-3.93,-100.77,0.00,0.00,0.00,100.00,22.73,data\MicC\MicC_dist20cm_ang45_tone_rep2.wav,data\MicC\MicC_dist20cm_ang45_silence_rep2.wav
MicC,50,0,1,999.76,-1.10,6.92,1.12,-104.55,0.00,0.00,0.00,100.00,22.73,data\MicC\MicC_dist50cm_ang0_tone_rep1.wav,data\MicC\MicC_dist50cm_ang0_silence_rep1.wav
MicC,50,0,2,999.76,3.55,5.75,-3.52,-101.21,0.00,0.00,0.00,100.00,22.73,data\MicC\MicC_dist50cm_ang0_tone_rep2.wav,data\MicC\MicC_dist50cm_ang0_silence_rep2.wav
MicC,50,45,1,999.76,1.26,5.96,-1.24,-101.19,0.00,0.00,0.00,100.00,22.73,data\MicC\MicC_dist50cm_ang45_tone_rep1.wav,data\MicC\MicC_dist50cm_ang45_silence_rep1.wav
MicC,50,45,2,999.76,-0.06,8.44,0.09,-98.21,0.00,0.00,0.00,100.00,22.73,data\MicC\MicC_dist50cm_ang45_tone_rep2.wav,data\MicC\MicC_dist50cm_ang45_silence_rep2.wav
